ImageID,ModelLoss,DataLoss
0000,0.9999937,0.9806734
0001,1.0,0.98622626
0002,1.0,0.98458886
0003,0.99999946,0.9795639
0004,1.0,0.98217076
0005,1.0,1.0
0006,0.9999926,0.98049784
0007,1.0,0.9868338
0008,0.9999999,0.9887486
0009,0.99999833,0.98004
0010,1.0,0.9789732
0011,0.9999801,0.9777927
0012,1.0,0.99993753
0013,0.999938,0.9776113
0014,0.9998644,0.9763965
0015,1.0,1.0
0016,0.9999996,0.9864488
0017,1.0,0.9876567
0018,0.9999626,0.9776549
0019,0.99995846,0.97651803
0020,1.0,0.99377704
0021,0.99999946,0.97946495
0022,1.0000001,0.98396045
0023,0.9999999,0.9835246
0024,0.99999464,0.9785983
0025,0.99997616,0.9890055
0026,1.0000001,0.98178893
0027,1.0,0.9785156
0028,1.0000001,0.9853237
0029,0.9999968,0.9790092
0030,1.0,0.98538715
0031,1.0000001,0.99077517
0032,1.0000001,0.9822425
0033,0.99999696,0.97833663
0034,1.0000001,0.9813637
0035,0.9999724,0.9776431
0036,1.0000002,0.9838295
0037,0.9999348,0.9767123
0038,0.9999859,0.9778511
0039,1.0,0.9834081
0040,1.0,0.985959
0041,0.9999857,0.9771932
0042,1.0000001,0.9869219
0043,1.0,0.98732936
0044,0.99998987,0.978277
0045,0.99998885,0.98576915
0046,0.9999824,0.97765917
0047,1.0,1.0
0048,0.999983,0.9773849
0049,1.0,0.9929973
0050,1.0,0.99795115
0051,1.0,1.0
0052,0.99999917,0.97960234
0053,0.9999933,0.98103404
0054,0.9999997,0.97910035
0055,0.9999944,0.98968256
0056,1.0,0.983253
0057,0.9999803,0.9773455
0058,0.99996406,0.9769001
0059,0.9999903,0.97745097
0060,0.9999949,0.9801725
0061,0.9999836,0.9771372
0062,0.9999151,0.97820556
0063,0.9999827,0.9782467
0064,0.9999864,0.9775886
0065,0.9999983,0.97875106
0066,0.99998486,0.97966504
0067,0.99998796,0.97981435
0068,1.0,0.9856342
0069,0.99998844,0.97824806
0070,1.0000001,0.99011797
0071,1.0,0.9999699
0072,1.0000001,0.9838422
0073,0.99998415,0.97778195
0074,1.0,0.99457496
0075,0.9999982,0.97909635
0076,0.9999953,0.97899646
0077,1.0000002,0.98059016
0078,0.9999945,0.9822373
0079,1.0000001,0.9818084
0080,1.0000001,0.9806178
0081,1.0,0.99008614
0082,1.0,0.9793389
0083,1.0,0.9893871
0084,1.0000001,0.98405135
0085,1.0,0.9806035
0086,1.0000001,0.98386985
0087,0.9999979,0.97946364
0088,1.0,1.0
0089,0.9999993,0.97760785
0090,1.0000001,0.9808054
0091,0.99998736,0.9782923
0092,1.0,0.98068625
0093,0.9999876,0.9795988
0094,0.99999434,0.9796624
0095,0.9999994,0.9801736
0096,0.99999964,0.9812152
0097,1.0000002,0.9799373
0098,0.9999818,0.97803247
0099,0.99999547,0.9808927
0100,0.9999998,0.97950256
0101,0.99998593,0.9781974
0102,1.0000002,0.9907782
0103,0.9999894,0.9789544
0104,0.9999669,0.97699755
0105,1.0,0.9837141
0106,1.0,0.9933464
0107,0.9999986,0.9796067
0108,1.0,0.9899719
0109,0.99999994,0.98115575
0110,0.9999997,0.98059374
0111,1.0,1.0
0112,0.99996924,0.9765451
0113,1.0,0.99162793
0114,1.0,0.98767
0115,0.99999946,0.98386383
0116,0.9999893,0.97792774
0117,0.9999809,0.98300356
0118,0.9999592,0.9774
0119,1.0000002,0.9782025
0120,0.9999995,0.9855908
0121,0.99999833,0.9791284
0122,0.9999952,0.9793769
0123,1.0,0.99873525
0124,0.99999976,0.98017186
0125,0.9999934,0.9783934
0126,0.9999953,0.97768223
0127,0.99999344,0.9795645
0128,0.99997634,0.97990096
0129,0.99993706,0.9768909
0130,0.9999976,0.9793076
0131,0.99997896,0.97852975
0132,1.0000001,0.9863955
0133,0.9999996,0.97901314
0134,1.0000001,0.97896653
0135,0.999966,0.9768542
0136,1.0000001,0.9839536
0137,0.99998873,0.9796837
0138,0.99996346,0.9792756
0139,0.9999993,0.9781634
0140,1.0000001,0.99354476
0141,0.99999875,0.97939056
0142,0.9999839,0.9776055
0143,0.99999946,0.98291856
0144,0.9999755,0.9783594
0145,0.99999946,0.983437
0146,1.0000001,0.9816225
0147,0.9999977,0.9797636
0148,1.0000001,0.97996163
0149,1.0,0.9930264
0150,1.0,0.9893021
0151,0.99985373,0.97604
0152,1.0,0.98660463
0153,1.0000001,0.97985023
0154,0.99997205,0.97866637
0155,0.99992794,0.97648764
0156,1.0,0.98080856
0157,0.9999868,0.98003113
0158,1.0,0.983047
0159,0.99999887,0.9788489
0160,0.99999,0.97834796
0161,0.99999213,0.9777382
0162,0.9999975,0.9783564
0163,0.9999999,0.9910699
0164,1.0,1.0
0165,1.0000001,0.98588365
0166,1.0000001,0.9817494
0167,1.0,0.9847777
0168,1.0,0.99162114
0169,0.9999715,0.9773973
0170,0.99990755,0.9760442
0171,1.0,0.99950975
0172,1.0000001,0.9799629
0173,0.9999806,0.97761214
0174,0.9998864,0.97598535
0175,0.9999999,0.9816637
0176,0.99999964,0.98081934
0177,0.99999946,0.9807709
0178,0.9999889,0.9778182
0179,1.0,0.9843534
0180,0.99999714,0.9796702
0181,0.999998,0.9786354
0182,1.0000001,0.98319024
0183,1.0,0.98766893
0184,0.9999742,0.9910339
0185,0.99999875,0.97968835
0186,1.0000001,0.9798761
0187,1.0000001,0.9836249
0188,1.0,0.9912467
0189,0.9999864,0.9798579
0190,0.99999243,0.9783274
0191,1.0,0.9895568
0192,0.99999964,0.9802712
0193,0.99997276,0.97663546
0194,1.0000001,0.98136306
0195,0.99999917,0.9825317
0196,0.99999994,0.9835232
0197,0.99999744,0.98039204
0198,1.0000002,0.979614
0199,1.0,0.9800423
0200,1.0000001,0.98381066
0201,1.0000001,0.97861814
0202,0.9999974,0.9818725
0203,1.0000001,0.98146695
0204,1.0,0.98564434
0205,1.0000001,0.982441
0206,0.9999756,0.9776507
0207,1.0000001,0.9848333
0208,0.99999267,0.97906023
0209,1.0,0.98163867
0210,1.0,0.9812646
0211,0.99997497,0.9769568
0212,0.99996907,0.9769437
0213,1.0,0.9922518
0214,0.9999892,0.9792608
0215,0.9999927,0.97759074
0216,0.9999648,0.9777534
0217,1.0000001,0.985693
0218,1.0,0.99428916
0219,0.9999994,0.9822541
0220,0.99999624,0.9793899
