alpha,beta,z0,avg_loss,avg_data_loss,avg_model_loss
5e-05,500.0,5,1.2390948704310827,1.4700101408899563e-05,1.2390213864190238
5e-05,500.0,10,1.188082013811384,2.2412896994085584e-05,1.1879699570792062
5e-05,500.0,20,1.183833156313215,2.8739495194583598e-05,1.1836894409997123
5e-05,1000.0,5,1.3019746712275915,1.8598388773430736e-05,1.3018816709518433
5e-05,1000.0,10,1.247480869293213,2.24473491731e-05,1.24736864226205
5e-05,1000.0,20,1.2661386557987757,2.7850366417884027e-05,1.265999402318682
5e-05,2000.0,5,1.3955657652446203,1.2826966927345243e-05,1.395501630646842
5e-05,2000.0,10,1.3667553152356828,1.5568363388800727e-05,1.3666774885995048
5e-05,2000.0,20,1.302897470338004,2.5016483310277442e-05,1.302772385733468
0.0001,500.0,5,1.2413957118988037,1.4581028673481861e-05,1.2413228069032942
0.0001,500.0,10,1.177453637123108,2.3173761292127892e-05,1.1773377656936646
0.0001,500.0,20,1.1712091309683663,2.8561242548416237e-05,1.171066335269383
0.0001,1000.0,5,1.2903798988887243,1.6408891627049472e-05,1.2902978488377161
0.0001,1000.0,10,1.2393134321485246,2.220955840519829e-05,1.2392023631504603
0.0001,1000.0,20,1.2646331787109375,2.706735826255421e-05,1.2644978421075004
0.0001,2000.0,5,1.4119503157479423,1.225347633797875e-05,1.4118890592030116
0.0001,2000.0,10,1.37158203125,1.624142480847825e-05,1.3715008326939173
0.0001,2000.0,20,1.2967684268951416,2.5317987300305894e-05,1.2966418266296387
0.0002,500.0,5,1.2338940586362566,1.4443842441583651e-05,1.2338218348366874
0.0002,500.0,10,1.1757137434823173,2.2931592476587476e-05,1.1755990811756678
0.0002,500.0,20,1.165026102747236,2.8780575251273278e-05,1.1648822001048498
0.0002,1000.0,5,1.2892255783081055,1.604868586062886e-05,1.2891453334263392
0.0002,1000.0,10,1.2459427118301392,2.1783135837592583e-05,1.2458338056291853
0.0002,1000.0,20,1.2612128938947404,2.6811669938199755e-05,1.26107885156359
0.0002,2000.0,5,1.4405084337506975,1.3015400457204254e-05,1.4404433454786028
0.0002,2000.0,10,1.3749981267111642,1.6718385528033002e-05,1.3749145439692907
0.0002,2000.0,20,1.320779630116054,2.6098802014270666e-05,1.3206491300037928
